Gaia16agt
#Date,JD,averagemag.
2015-02-18 14:48:03,2457072.117,null
2015-03-19 20:34:13,2457101.357,null
2015-03-19 22:20:48,2457101.431,null
2015-04-12 08:31:12,2457124.855,null
2015-07-27 13:11:46,2457231.050,null
2015-07-27 17:25:29,2457231.226,null
2015-07-27 19:11:54,2457231.300,null
2015-07-27 23:25:22,2457231.476,null
2015-09-08 16:24:39,2457274.184,null
2015-10-10 11:45:19,2457305.990,null
2015-10-31 22:00:23,2457327.417,null
2015-10-31 23:46:42,2457327.491,null
2015-11-01 04:00:34,2457327.667,null
2015-11-01 05:46:53,2457327.741,null
2016-02-29 09:59:00,2457447.916,18.99
2016-02-29 11:45:34,2457447.990,18.84

