Gaia16agu
#Date,JD,averagemag.
2014-10-21 13:45:55,2456952.074,null
2015-02-18 17:53:55,2457072.246,15.62
2015-02-18 19:40:29,2457072.320,15.65
2015-03-19 19:19:29,2457101.305,15.56
2015-07-27 02:12:51,2457230.592,15.51
2015-07-27 03:59:25,2457230.666,15.42
2015-07-27 08:13:06,2457230.842,15.35
2015-07-27 09:59:41,2457230.916,15.3
2015-07-27 15:59:56,2457231.167,15.25
2015-09-08 15:08:02,2457274.131,15.55
2015-10-10 07:04:01,2457305.794,15.36
2015-10-10 08:50:36,2457305.868,15.36
2015-11-01 01:10:18,2457327.549,15.3
2015-11-01 02:56:52,2457327.623,15.28
2016-02-29 13:02:36,2457448.043,16.5
2016-02-29 14:49:10,2457448.117,16.39
2016-04-02 08:14:31,2457480.843,15.48

