Gaia16agx
#Date,JD,averagemag.
2014-11-01 08:37:20,2456962.859,null
2014-11-29 10:08:14,2456990.922,null
2015-02-18 14:05:22,2457072.087,null
2015-02-18 15:51:37,2457072.161,null
2015-02-18 20:05:19,2457072.337,null
2015-03-01 08:14:50,2457082.844,null
2015-03-01 10:01:33,2457082.918,null
2015-03-01 14:15:11,2457083.094,null
2015-03-01 16:01:54,2457083.168,null
2015-03-01 20:15:04,2457083.344,null
2015-03-01 22:02:05,2457083.418,null
2015-04-17 21:42:21,2457130.404,null
2015-04-18 01:55:48,2457130.580,null
2015-05-20 01:34:20,2457162.566,null
2015-05-20 03:20:40,2457162.639,null
2015-06-13 07:27:38,2457186.811,null
2015-06-13 09:13:53,2457186.885,null
2015-07-28 12:08:13,2457232.006,null
2015-07-28 13:54:28,2457232.079,null
2015-07-28 18:08:16,2457232.256,null
2015-07-28 19:54:31,2457232.330,null
2015-08-04 01:59:32,2457238.583,null
2015-08-04 06:13:16,2457238.759,null
2015-08-04 07:59:31,2457238.833,null
2015-08-04 12:13:15,2457239.009,null
2015-10-05 22:37:26,2457301.443,null
2015-10-05 22:37:26,2457301.443,null
2015-10-06 00:23:55,2457301.517,null
2015-10-06 00:23:55,2457301.517,null
2015-12-13 23:09:37,2457370.465,null
2015-12-14 03:23:01,2457370.641,null
2016-01-06 15:26:53,2457394.144,null
2016-01-06 17:13:30,2457394.218,null
2016-03-01 16:56:01,2457449.206,17.51
2016-03-01 21:09:41,2457449.382,17.61
2016-03-01 22:56:16,2457449.456,17.58
2016-03-02 03:09:56,2457449.632,17.65
2016-03-19 09:21:14,2457466.890,null
2016-03-19 11:07:49,2457466.964,19.98

