Gaia16ahb
#Date,JD,averagemag.
2014-08-25 14:10:59,2456895.091,18.45
2014-08-25 15:57:33,2456895.165,18.19
2014-12-30 13:38:41,2457022.069,null
2015-02-20 19:12:22,2457074.300,18.19
2015-02-20 20:58:56,2457074.374,17.95
2015-06-24 20:58:34,2457198.374,18.56
2015-07-26 18:55:17,2457230.288,17.95
2015-07-26 20:38:03,2457230.360,null
2015-08-18 12:49:32,2457253.034,null
2015-08-18 14:41:37,2457253.112,17.85
2015-11-23 21:38:57,2457350.402,18.34
2015-11-23 23:25:31,2457350.476,18.2
2015-12-02 09:44:24,2457358.906,18.02
2015-12-02 11:30:58,2457358.980,18.18
2015-12-02 15:44:37,2457359.156,17.99
2016-01-10 02:45:15,2457397.615,18.58
2016-01-10 04:31:49,2457397.689,18.45
2016-02-11 08:16:26,2457429.845,18.91
2016-02-11 10:03:00,2457429.919,18.6
2016-03-01 20:20:54,2457449.348,16.31
2016-03-01 22:07:28,2457449.422,16.32

