Gaia16ahe
#Date,JD,averagemag.
2014-08-30 17:19:46,2456900.222,null
2014-08-30 19:06:16,2456900.296,null
2015-01-01 22:16:45,2457024.428,null
2015-01-22 22:13:27,2457045.426,null
2015-01-23 00:00:23,2457045.500,null
2015-02-21 09:53:41,2457074.912,null
2015-06-30 10:19:54,2457203.930,null
2015-06-30 12:06:49,2457204.005,null
2015-07-25 16:17:59,2457229.179,null
2015-08-23 10:02:28,2457257.918,null
2015-08-23 11:48:30,2457257.992,null
2016-01-11 17:22:28,2457399.224,null
2016-02-06 05:10:32,2457424.716,null
2016-02-06 06:57:22,2457424.790,null
2016-03-02 18:58:47,2457450.291,17.72
2016-03-02 23:12:28,2457450.467,17.69

