Gaia16ahh
#Date,JD,averagemag.
2014-08-26 09:50:09,2456895.910,null
2014-12-31 13:42:02,2457023.071,null
2014-12-31 15:28:24,2457023.145,null
2015-01-26 21:12:45,2457049.384,null
2015-02-22 01:17:15,2457075.554,null
2015-02-22 01:17:15,2457075.554,null
2015-02-22 03:04:00,2457075.628,null
2015-02-22 03:04:00,2457075.628,null
2015-06-25 01:06:21,2457198.546,null
2015-07-25 18:51:12,2457229.286,null
2015-07-25 20:38:02,2457229.360,null
2015-08-19 06:47:22,2457253.783,null
2015-11-25 03:42:43,2457351.655,null
2015-11-25 05:29:13,2457351.729,null
2015-11-25 09:42:53,2457351.905,null
2015-11-25 11:29:18,2457351.979,null
2015-12-02 05:34:33,2457358.732,null
2015-12-02 09:48:14,2457358.909,null
2015-12-02 11:35:04,2457358.983,null
2016-01-11 02:48:56,2457398.617,null
2016-02-10 16:11:07,2457429.174,null
2016-03-03 14:21:06,2457451.098,17.67
2016-03-03 16:07:40,2457451.172,17.69

