Gaia16ahk
#Date,JD,averagemag.
2014-08-14 09:35:44,2456883.900,null
2014-08-14 13:49:24,2456884.076,null
2014-08-14 15:35:59,2456884.150,null
2014-08-14 19:49:40,2456884.326,null
2014-08-14 21:36:14,2456884.400,null
2014-08-15 01:49:55,2456884.576,null
2014-08-15 07:50:10,2456884.827,null
2014-11-08 20:43:09,2456970.363,20.07
2014-11-08 22:29:43,2456970.437,20.44
2014-11-24 02:43:47,2456985.614,null
2014-11-24 04:30:38,2456985.688,null
2014-12-29 21:40:25,2457021.403,null
2015-02-01 09:12:08,2457054.883,20.56
2015-02-01 13:25:47,2457055.060,null
2015-02-22 13:30:48,2457076.063,20.63
2015-02-22 15:24:52,2457076.142,null
2015-04-23 07:28:16,2457135.811,null
2015-04-23 09:15:03,2457135.885,null
2015-04-23 13:28:44,2457136.062,null
2015-06-20 02:59:00,2457193.624,null
2015-07-26 08:19:55,2457229.847,null
2015-11-18 21:39:48,2457345.403,null
2015-11-18 23:29:29,2457345.479,20.48
2015-12-07 17:27:42,2457364.228,20.46
2016-01-09 21:01:14,2457397.376,20.31
2016-01-09 22:47:47,2457397.450,20.37
2016-02-18 02:31:05,2457436.605,null
2016-02-18 04:17:39,2457436.679,20.52
2016-02-18 08:31:18,2457436.855,20.31
2016-03-04 14:40:38,2457452.112,16.92
2016-03-04 16:27:12,2457452.186,16.91
2016-03-04 20:40:52,2457452.362,17.06
2016-03-04 22:27:26,2457452.436,17.02

