Gaia16aho
#Date,JD,averagemag.
2014-11-08 13:24:04,2456970.058,null
2014-11-08 17:37:37,2456970.234,null
2014-11-24 11:41:33,2456985.987,null
2014-11-24 13:28:17,2456986.061,null
2015-02-01 16:30:44,2457055.188,null
2015-02-01 18:17:15,2457055.262,null
2015-02-23 04:38:32,2457076.693,null
2015-02-23 06:24:42,2457076.767,null
2015-02-23 10:38:15,2457076.943,null
2015-04-22 04:29:04,2457134.687,null
2015-04-22 06:15:47,2457134.761,null
2015-04-22 10:29:30,2457134.937,null
2015-04-22 12:16:09,2457135.011,null
2015-07-26 03:35:16,2457229.649,null
2015-10-01 15:51:25,2457297.161,null
2015-10-01 21:51:44,2457297.411,null
2015-10-02 02:05:22,2457297.587,null
2015-10-02 03:51:56,2457297.661,null
2015-10-02 08:05:37,2457297.837,null
2015-10-02 09:52:14,2457297.911,null
2015-10-02 14:06:02,2457298.088,null
2015-10-02 15:52:52,2457298.162,null
2015-10-02 21:52:49,2457298.412,null
2015-11-18 18:38:28,2457345.277,null
2015-11-18 20:24:48,2457345.351,null
2015-12-08 00:37:41,2457364.526,null
2015-12-08 02:24:16,2457364.600,null
2016-01-10 01:49:45,2457397.576,null
2016-01-10 06:03:30,2457397.752,null
2016-02-18 05:38:24,2457436.735,null
2016-02-18 07:24:53,2457436.809,null
2016-03-05 13:39:52,2457453.069,16.67
2016-03-05 17:53:33,2457453.246,16.82
2016-03-05 19:40:07,2457453.320,16.63
2016-03-05 23:53:48,2457453.496,16.42

