Gaia16ahq
#Date,JD,averagemag.
2015-01-06 07:33:42,2457028.815,null
2015-01-06 09:20:20,2457028.889,null
2015-01-21 19:36:41,2457044.317,null
2015-02-24 18:53:43,2457078.287,null
2015-07-02 08:42:08,2457205.863,null
2015-07-02 12:55:54,2457206.039,null
2015-07-02 14:42:09,2457206.113,null
2015-07-21 01:06:40,2457224.546,null
2015-07-21 02:52:55,2457224.620,null
2015-08-25 06:45:59,2457259.782,null
2015-08-25 08:32:40,2457259.856,null
2015-10-04 11:59:32,2457300.000,null
2015-10-04 13:45:46,2457300.073,null
2015-10-04 17:59:32,2457300.250,null
2015-10-04 19:46:03,2457300.324,null
2015-10-12 13:52:39,2457308.078,null
2015-10-12 18:06:23,2457308.254,null
2015-10-12 19:52:54,2457308.328,null
2016-02-04 22:17:18,2457423.429,null
2016-03-06 14:02:26,2457454.085,17.81
2016-03-06 15:49:00,2457454.159,17.84

