Gaia16ahz
#Date,JD,averagemag.
2014-10-28 17:30:55,2456959.230,null
2014-10-28 19:17:25,2456959.304,null
2014-11-28 12:57:02,2456990.040,null
2015-04-20 12:54:17,2457133.038,null
2015-05-24 04:35:49,2457166.692,null
2015-05-24 06:22:36,2457166.766,null
2015-06-12 22:37:22,2457186.443,null
2015-09-19 15:02:33,2457285.127,null
2015-09-19 19:16:19,2457285.303,null
2015-10-02 13:24:06,2457298.058,null
2015-10-02 15:10:21,2457298.132,null
2015-11-08 12:40:11,2457335.028,null
2015-11-08 14:26:35,2457335.102,null
2015-12-14 18:13:49,2457371.260,null
2015-12-14 20:00:23,2457371.334,null
2015-12-28 14:09:13,2457385.090,null
2015-12-28 18:22:58,2457385.266,null
2015-12-28 20:09:48,2457385.340,null
2016-03-10 18:42:23,2457458.279,18.47
2016-03-10 20:28:57,2457458.353,18.42
2016-03-11 00:42:36,2457458.530,18.59
2016-03-11 02:29:10,2457458.604,18.42
2016-03-22 14:36:44,2457470.109,18.54
2016-03-22 18:50:23,2457470.285,18.68
2016-03-22 20:36:57,2457470.359,18.56
2016-03-23 00:50:36,2457470.535,18.63

