Gaia16aie
#Date,JD,averagemag.
2014-10-28 14:24:24,2456959.100,null
2014-10-28 16:10:54,2456959.174,null
2014-11-28 02:02:05,2456989.585,null
2014-11-28 03:48:55,2456989.659,null
2015-04-21 02:12:00,2457133.592,null
2015-04-21 03:58:40,2457133.666,null
2015-05-24 07:44:47,2457166.823,null
2015-05-24 09:30:59,2457166.897,null
2015-06-13 03:33:15,2457186.648,null
2015-06-13 07:46:29,2457186.824,null
2015-10-01 18:08:41,2457297.256,null
2015-10-01 22:22:18,2457297.432,null
2015-11-08 09:33:02,2457334.898,null
2015-11-08 11:19:14,2457334.972,null
2015-12-14 03:04:02,2457370.628,null
2015-12-14 04:51:00,2457370.702,null
2015-12-28 03:13:01,2457384.634,null
2015-12-28 09:13:36,2457384.884,null
2015-12-28 11:00:04,2457384.958,null
2016-03-12 05:26:17,2457459.727,null
2016-03-12 09:33:00,2457459.898,18.51
2016-03-12 11:19:35,2457459.972,18.36
2016-03-12 15:33:15,2457460.148,18.3
2016-03-12 17:19:50,2457460.222,18.3
2016-03-12 21:33:31,2457460.398,18.27
2016-03-22 03:41:44,2457469.654,null
2016-03-22 03:41:44,2457469.654,17.1
2016-03-22 05:28:19,2457469.728,17.09
2016-03-22 09:42:00,2457469.904,17.25
2016-03-22 11:28:35,2457469.978,17.1

