Gaia16aif
#Date,JD,averagemag.
2014-11-25 16:09:48,2456987.173,null
2014-11-25 22:09:59,2456987.424,null
2014-11-25 23:56:31,2456987.498,null
2014-11-26 04:10:38,2456987.674,null
2014-11-26 05:56:45,2456987.748,null
2014-11-26 10:10:44,2456987.924,null
2014-11-26 11:57:22,2456987.998,null
2014-11-26 16:10:52,2456988.174,null
2014-11-26 17:57:07,2456988.248,null
2014-11-26 22:10:51,2456988.424,null
2014-11-26 23:57:41,2456988.498,null
2014-11-27 04:11:25,2456988.675,null
2014-11-27 05:57:40,2456988.748,null
2014-11-27 10:11:44,2456988.925,null
2014-11-27 11:57:57,2456988.999,null
2014-11-27 16:11:53,2456989.175,null
2014-11-27 17:58:14,2456989.249,null
2014-11-27 22:11:47,2456989.425,null
2014-11-27 23:58:13,2456989.499,null
2014-11-28 04:12:22,2456989.675,null
2014-11-28 05:58:47,2456989.749,null
2014-11-28 10:12:09,2456989.925,null
2014-11-28 11:59:12,2456989.999,null
2014-11-28 16:12:21,2456990.175,null
2015-03-25 20:12:12,2457107.342,null
2015-03-25 20:12:12,2457107.342,null
2015-03-26 00:25:57,2457107.518,null
2015-03-26 00:25:57,2457107.518,null
2015-04-25 13:50:23,2457138.077,null
2015-09-02 14:13:40,2457268.093,null
2015-09-02 18:27:34,2457268.269,null
2015-09-27 06:27:16,2457292.769,null
2015-09-27 08:14:00,2457292.843,null
2015-10-25 18:12:08,2457321.258,null
2016-03-13 13:42:37,2457461.071,18.19
2016-03-13 15:29:11,2457461.145,18.18
2016-04-08 15:14:29,2457487.135,19.23

