Gaia16aik
#Date,JD,averagemag.
2014-11-03 20:46:04,2456965.365,null
2014-11-03 22:38:28,2456965.443,19.51
2014-11-29 16:24:14,2456991.184,17.19
2014-12-29 22:03:13,2457021.419,null
2015-02-09 01:49:50,2457062.576,19.55
2015-02-09 03:36:25,2457062.650,null
2015-02-09 07:56:31,2457062.831,null
2015-03-03 19:58:15,2457085.332,19.73
2015-03-03 21:44:49,2457085.406,19.84
2015-04-15 19:43:59,2457128.322,null
2015-06-13 19:13:10,2457187.301,19.47
2015-06-13 20:59:45,2457187.375,19.43
2015-10-08 10:48:13,2457303.950,null
2015-11-15 03:56:23,2457341.664,19.77
2015-11-15 05:42:57,2457341.738,19.64
2015-12-13 15:37:10,2457370.151,19.3
2016-01-10 21:25:09,2457398.392,19.18
2016-01-10 23:11:43,2457398.466,19.34
2016-02-23 16:46:27,2457442.199,19.58
2016-02-23 21:00:07,2457442.375,19.4
2016-03-17 21:07:58,2457465.381,17.04
2016-03-17 22:54:33,2457465.455,17.11
2016-03-18 03:08:13,2457465.631,17.3
2016-03-18 04:54:47,2457465.705,17.21

