Gaia16aip
#Date,JD,averagemag.
2014-10-31 11:35:49,2456961.983,null
2014-11-28 11:21:03,2456989.973,null
2015-04-19 12:43:35,2457132.030,null
2015-05-21 04:33:44,2457163.690,null
2015-05-21 06:20:18,2457163.764,null
2015-10-04 01:34:58,2457299.566,null
2015-10-04 03:21:55,2457299.640,null
2015-11-11 06:43:39,2457337.780,null
2015-11-11 08:29:57,2457337.854,null
2015-12-13 06:22:36,2457369.766,null
2015-12-13 08:09:12,2457369.840,null
2016-01-04 00:27:43,2457391.519,null
2016-01-04 02:14:10,2457391.593,null
2016-03-07 06:25:12,2457454.768,null
2016-03-07 08:11:42,2457454.841,null
2016-03-07 12:25:28,2457455.018,null
2016-03-07 14:12:15,2457455.092,null
2016-03-07 18:25:43,2457455.268,null
2016-03-07 20:12:10,2457455.342,null
2016-03-08 02:12:25,2457455.592,null
2016-03-17 14:19:49,2457465.097,null
2016-03-17 18:35:55,2457465.275,18.8
2016-03-17 20:22:29,2457465.349,18.56

