Gaia16aix
#Date,JD,averagemag.
2014-08-30 09:51:20,2456899.911,null
2014-08-30 11:37:50,2456899.985,null
2014-08-30 15:51:43,2456900.161,null
2014-11-11 08:41:44,2456972.862,null
2015-01-14 17:42:23,2457037.238,null
2015-01-14 19:29:03,2457037.312,null
2015-01-30 23:44:51,2457053.489,null
2015-01-31 01:31:06,2457053.563,null
2015-03-13 00:05:55,2457094.504,null
2015-03-13 04:19:35,2457094.680,null
2015-03-30 06:07:10,2457111.755,null
2015-03-30 06:07:10,2457111.755,null
2015-05-07 17:08:04,2457150.214,null
2015-06-06 03:05:12,2457179.629,null
2015-06-06 03:05:12,2457179.629,null
2015-07-07 02:52:47,2457210.620,null
2015-07-07 04:39:15,2457210.694,null
2015-08-20 08:31:25,2457254.855,null
2015-08-20 10:17:40,2457254.929,null
2015-09-14 16:25:16,2457280.184,null
2015-09-14 20:38:56,2457280.360,null
2015-10-24 08:17:55,2457319.846,null
2015-11-25 01:55:43,2457351.580,null
2015-11-25 03:42:17,2457351.654,null
2015-12-19 13:47:01,2457376.074,null
2015-12-19 13:47:01,2457376.074,null
2015-12-19 15:33:36,2457376.148,null
2015-12-19 15:33:36,2457376.148,null
2016-01-27 00:38:58,2457414.527,null
2016-01-27 02:25:23,2457414.601,null
2016-02-11 06:42:35,2457429.780,null
2016-03-23 05:12:50,2457470.717,17.51
2016-03-23 06:59:24,2457470.791,17.34

