Gaia16aja
#Date,JD,averagemag.
2015-01-03 14:37:19,2457026.109,null
2015-02-08 08:17:29,2457061.845,null
2015-02-08 10:04:19,2457061.920,null
2015-03-10 20:05:53,2457092.337,null
2015-03-10 21:52:53,2457092.412,null
2015-04-10 07:50:51,2457122.827,null
2015-05-16 13:08:22,2457159.047,null
2015-05-16 14:55:06,2457159.122,null
2015-06-08 20:48:29,2457182.367,null
2015-09-16 22:51:52,2457282.453,null
2015-09-17 00:38:16,2457282.527,null
2015-10-13 04:38:52,2457308.694,null
2015-10-13 06:25:28,2457308.768,null
2015-11-15 04:10:43,2457341.674,null
2015-11-15 05:57:33,2457341.748,null
2015-12-18 21:50:47,2457375.410,null
2016-02-21 03:26:23,2457439.643,null
2016-03-23 15:02:37,2457471.127,18.41
2016-03-23 16:49:11,2457471.201,18.41

