Gaia16ajc
#Date,JD,averagemag.
2014-11-24 22:21:42,2456986.432,null
2014-11-25 00:08:12,2456986.506,null
2014-11-25 04:21:44,2456986.682,null
2014-11-25 06:08:33,2456986.756,null
2015-03-06 12:21:09,2457088.015,null
2015-03-06 14:07:23,2457088.088,null
2015-03-22 12:25:10,2457104.017,null
2015-04-25 11:51:44,2457137.994,null
2015-04-25 13:38:15,2457138.068,null
2015-09-07 18:31:14,2457273.272,null
2015-09-07 20:17:50,2457273.346,null
2015-09-26 18:38:40,2457292.277,null
2015-09-26 20:24:44,2457292.351,null
2015-10-28 20:01:31,2457324.334,null
2016-03-14 13:32:07,2457462.064,18.98
2016-03-14 15:18:41,2457462.138,18.94
2016-04-05 09:13:30,2457483.884,19.46

