Gaia16aje
#Date,JD,averagemag.
2014-11-14 15:05:33,2456976.129,null
2015-05-04 22:42:54,2457147.446,null
2015-06-01 20:43:17,2457175.363,null
2015-06-01 22:30:07,2457175.438,null
2015-06-29 16:24:18,2457203.184,null
2015-06-29 20:38:03,2457203.360,null
2015-10-30 14:34:30,2457326.107,null
2015-10-30 16:21:36,2457326.182,null
2015-11-28 22:03:55,2457355.419,null
2015-12-22 02:09:33,2457378.590,null
2015-12-22 03:56:22,2457378.664,null
2016-03-26 10:51:28,2457473.952,18.53
2016-03-26 12:38:03,2457474.026,18.45
2016-03-26 16:51:43,2457474.203,18.46
2016-04-04 00:44:52,2457482.531,18.75
2016-04-04 04:58:33,2457482.707,18.89
2016-04-04 06:45:07,2457482.781,18.8

