Gaia16ajh
#Date,JD,averagemag.
2014-11-16 04:22:30,2456977.682,null
2014-11-16 06:09:20,2456977.756,null
2015-05-03 11:51:54,2457145.994,null
2015-05-03 13:38:45,2457146.069,null
2015-05-31 23:39:10,2457174.486,null
2015-06-01 01:25:22,2457174.559,null
2015-06-27 01:22:41,2457200.557,null
2015-06-27 05:36:41,2457200.734,null
2015-10-31 23:40:29,2457327.486,null
2015-11-01 01:26:50,2457327.560,null
2015-12-22 11:13:52,2457378.968,null
2016-03-27 13:56:19,2457475.081,17.54
2016-03-27 15:42:53,2457475.155,17.51
2016-03-27 19:56:32,2457475.331,17.57
2016-03-27 21:43:06,2457475.405,17.51
2016-03-28 01:56:45,2457475.581,17.76
2016-03-28 03:43:19,2457475.655,17.56
2016-03-31 15:46:10,2457479.157,17.6
2016-03-31 19:59:49,2457479.333,17.68
2016-03-31 21:46:23,2457479.407,17.59
2016-04-01 02:00:02,2457479.583,17.61
2016-04-01 03:46:36,2457479.657,17.6

