Gaia16ajo
#Date,JD,averagemag.
2015-02-28 23:47:08,2457082.491,null
2015-03-01 01:33:58,2457082.565,null
2015-03-14 07:40:37,2457095.820,null
2015-03-14 11:54:25,2457095.996,null
2015-03-14 13:40:57,2457096.070,null
2015-04-19 17:22:20,2457132.224,null
2015-04-19 19:09:13,2457132.298,null
2015-05-30 00:19:39,2457172.514,null
2015-05-30 04:33:25,2457172.690,null
2015-05-30 06:19:51,2457172.764,null
2015-06-06 16:39:00,2457180.194,null
2015-06-06 16:39:00,2457180.194,null
2015-06-06 18:25:50,2457180.268,null
2015-06-06 18:25:50,2457180.268,null
2015-06-06 22:39:29,2457180.444,null
2015-06-06 22:39:29,2457180.444,null
2015-06-07 00:25:58,2457180.518,null
2015-06-07 00:25:58,2457180.518,null
2015-09-14 02:51:01,2457279.619,null
2015-09-14 07:04:16,2457279.795,null
2015-10-03 02:54:52,2457298.621,null
2015-11-04 06:43:09,2457330.780,null
2015-11-04 08:29:47,2457330.854,null
2016-03-08 12:53:18,2457456.037,null
2016-03-08 14:39:48,2457456.111,null
2016-03-29 18:57:00,2457477.290,18.71
2016-03-29 20:43:34,2457477.364,18.6

