Gaia16ajq
#Date,JD,averagemag.
2014-10-11 11:22:25,2456941.974,null
2014-10-11 15:36:05,2456942.150,null
2014-10-11 17:22:39,2456942.224,null
2014-10-11 21:36:19,2456942.400,null
2014-11-02 09:45:57,2456963.907,null
2014-11-02 11:30:24,2456963.979,null
2014-11-02 15:43:48,2456964.155,null
2014-11-02 17:32:46,2456964.231,19.95
2015-01-13 09:02:56,2457035.877,20.04
2015-01-13 10:49:30,2457035.951,19.98
2015-02-06 14:55:11,2457060.122,20.12
2015-03-18 07:45:49,2457099.823,20.15
2015-03-18 09:32:24,2457099.898,20.14
2015-03-31 15:38:27,2457113.152,20.13
2015-03-31 19:52:07,2457113.328,20.24
2015-05-14 06:24:18,2457156.767,20.08
2015-05-14 08:10:52,2457156.841,20.12
2015-06-01 06:26:09,2457174.768,20.17
2015-06-01 08:12:43,2457174.842,20.16
2015-09-08 00:57:57,2457273.540,null
2015-09-08 05:11:29,2457273.716,null
2015-10-25 22:45:38,2457321.448,null
2015-10-26 00:32:28,2457321.523,null
2015-10-26 04:46:02,2457321.699,null
2015-11-18 04:55:26,2457344.705,19.97
2015-11-18 06:42:01,2457344.779,19.96
2015-12-25 00:19:03,2457381.513,19.71
2015-12-25 04:32:44,2457381.689,19.76
2016-02-17 09:59:06,2457435.916,19.49
2016-02-17 11:45:40,2457435.990,19.29
2016-03-29 14:42:01,2457477.113,19.01
2016-03-29 16:28:35,2457477.187,18.96
2016-04-11 04:34:52,2457489.691,18.97

