Gaia16ajs
#Date,JD,averagemag.
2014-10-29 03:41:00,2456959.653,null
2014-10-29 05:27:26,2456959.727,null
2014-10-29 09:41:11,2456959.904,null
2014-10-29 11:27:30,2456959.977,null
2015-02-07 22:42:39,2457061.446,null
2015-03-20 07:51:01,2457101.827,null
2015-03-20 09:37:25,2457101.901,null
2015-03-31 07:58:11,2457112.832,null
2015-03-31 09:45:01,2457112.906,null
2015-03-31 13:58:48,2457113.083,null
2015-05-16 00:26:24,2457158.518,null
2015-05-16 02:12:56,2457158.592,null
2015-05-30 12:31:47,2457173.022,null
2015-05-30 14:18:25,2457173.096,null
2015-07-09 13:19:22,2457213.055,null
2015-09-06 11:05:14,2457271.962,null
2015-09-06 12:52:07,2457272.036,null
2015-10-28 06:29:15,2457323.770,null
2015-10-28 10:42:43,2457323.946,null
2015-10-28 12:28:54,2457324.020,null
2015-10-28 16:42:39,2457324.196,null
2015-11-15 04:52:58,2457341.703,null
2015-11-15 06:39:48,2457341.778,null
2015-11-15 10:53:18,2457341.954,null
2015-11-15 12:39:33,2457342.027,null
2015-12-26 18:15:20,2457383.261,null
2016-01-27 05:51:03,2457414.744,null
2016-02-18 16:01:18,2457437.168,null
2016-02-18 17:47:55,2457437.242,null
2016-03-31 20:47:36,2457479.366,18.7
2016-03-31 22:34:10,2457479.440,18.66
2016-04-01 02:47:50,2457479.617,18.95
2016-04-01 04:34:25,2457479.691,18.74

