Gaia16ajz
#Date,JD,averagemag.
2014-09-15 09:19:52,2456915.889,null
2014-10-07 18:27:17,2456938.269,null
2014-10-07 20:13:51,2456938.343,null
2014-10-08 00:27:31,2456938.519,null
2014-10-08 02:14:06,2456938.593,null
2014-10-24 14:25:32,2456955.101,null
2014-10-24 18:39:12,2456955.277,null
2014-10-24 20:25:46,2456955.351,null
2014-10-25 00:39:26,2456955.527,null
2014-12-17 00:21:42,2457008.515,null
2015-01-11 12:17:25,2457034.012,19.77
2015-01-11 14:03:59,2457034.086,19.59
2015-02-10 05:54:47,2457063.746,19.77
2015-02-10 07:41:21,2457063.820,19.62
2015-03-20 04:54:06,2457101.704,19.65
2015-03-20 06:40:40,2457101.778,19.62
2015-04-03 05:05:33,2457115.712,null
2015-04-03 06:51:54,2457115.786,null
2015-05-19 11:07:25,2457161.963,19.74
2015-05-19 15:21:05,2457162.140,19.62
2015-05-19 17:07:39,2457162.214,19.66
2015-05-29 03:27:38,2457171.644,null
2015-05-29 05:14:31,2457171.718,19.65
2015-07-11 14:19:18,2457215.097,19.68
2015-07-11 16:05:53,2457215.171,19.59
2015-08-06 20:05:13,2457241.337,null
2015-09-07 01:59:23,2457272.583,19.65
2015-10-25 19:36:56,2457321.317,null
2015-10-25 21:23:46,2457321.392,null
2015-10-26 01:37:33,2457321.568,null
2015-10-26 03:23:48,2457321.642,null
2015-10-26 07:37:35,2457321.818,null
2015-10-26 09:24:26,2457321.892,null
2015-11-07 21:38:33,2457334.402,19.4
2015-11-08 01:52:13,2457334.578,19.6
2015-11-08 03:38:47,2457334.652,19.36
2015-11-08 07:52:27,2457334.828,19.63
2015-11-08 09:39:01,2457334.902,19.48
2015-11-08 13:52:41,2457335.078,19.62
2015-12-28 13:35:26,2457385.066,null
2015-12-28 15:17:30,2457385.137,19.44
2016-01-25 19:16:21,2457413.303,19.71
2016-01-25 21:02:55,2457413.377,19.59
2016-02-21 07:00:07,2457439.792,19.24
2016-04-01 13:35:32,2457480.066,18.14
2016-04-01 17:49:12,2457480.243,18.24
2016-04-12 11:55:07,2457490.997,18.14
2016-04-12 13:41:41,2457491.071,18.16

