Gaia16ake
#Date,JD,averagemag.
2015-02-25 17:57:27,2457079.248,null
2015-02-25 19:43:42,2457079.322,null
2015-03-19 11:55:29,2457100.997,null
2015-03-19 13:41:46,2457101.071,null
2015-09-09 14:47:24,2457275.116,null
2015-09-09 19:01:11,2457275.292,null
2015-10-04 08:43:06,2457299.863,null
2015-10-31 12:47:07,2457327.033,null
2015-10-31 14:33:50,2457327.107,null
2016-03-06 19:05:17,2457454.295,null
2016-03-06 20:52:02,2457454.369,null
2016-04-02 12:53:26,2457481.037,18.12
2016-04-02 14:40:00,2457481.111,17.96

