Gaia16akh
#Date,JD,averagemag.
2014-09-12 23:56:28,2456913.498,null
2014-09-13 01:43:01,2456913.572,null
2014-10-03 04:44:46,2456933.698,null
2014-10-03 10:44:59,2456933.948,null
2014-10-16 09:06:44,2456946.880,null
2014-10-16 15:06:57,2456947.130,null
2014-10-16 16:53:31,2456947.204,null
2014-10-16 21:07:10,2456947.380,null
2014-10-16 22:53:44,2456947.454,null
2015-01-09 21:25:26,2457032.393,19.95
2015-01-09 23:12:00,2457032.467,19.86
2015-02-14 03:02:18,2457067.627,19.94
2015-03-22 20:17:09,2457104.345,null
2015-04-05 04:11:32,2457117.675,null
2015-07-12 23:11:21,2457216.466,19.98
2015-07-13 00:57:54,2457216.540,19.87
2015-09-05 04:37:32,2457270.693,19.91
2015-09-05 06:24:06,2457270.767,19.85
2016-01-03 04:22:32,2457390.682,null
2016-01-03 06:11:42,2457390.758,19.74
2016-01-25 16:29:23,2457413.187,19.86
2016-01-25 18:15:57,2457413.261,19.88
2016-02-24 22:11:54,2457443.425,19.81
2016-04-05 15:16:40,2457484.137,19.88
2016-04-05 17:03:14,2457484.211,18.67
2016-04-05 21:16:55,2457484.387,20.11
2016-04-05 23:03:29,2457484.461,18.72

