Gaia16akj
#Date,JD,averagemag.
2014-11-18 07:13:54,2456979.801,null
2015-03-12 17:28:31,2457094.228,null
2015-03-12 21:42:22,2457094.404,null
2015-03-12 23:29:15,2457094.479,null
2015-03-22 21:49:23,2457104.409,null
2015-03-22 23:35:38,2457104.483,null
2015-05-01 02:59:15,2457143.624,null
2015-06-23 22:32:14,2457197.439,null
2015-06-24 02:45:55,2457197.615,null
2015-06-24 04:32:10,2457197.689,null
2015-09-10 21:12:16,2457276.384,null
2015-09-11 03:12:17,2457276.634,null
2015-09-11 04:58:57,2457276.708,null
2015-09-11 09:12:36,2457276.884,null
2015-09-11 10:59:26,2457276.958,null
2015-09-11 15:12:56,2457277.134,null
2015-09-11 16:59:15,2457277.208,null
2015-09-11 21:13:08,2457277.384,null
2015-09-11 22:59:46,2457277.458,null
2015-09-12 03:13:38,2457277.634,null
2015-09-12 04:59:53,2457277.708,null
2015-09-12 09:13:45,2457277.885,null
2015-09-12 11:00:09,2457277.958,null
2015-09-12 15:14:03,2457278.135,null
2015-09-12 17:00:18,2457278.209,null
2015-09-12 21:14:22,2457278.385,null
2015-09-12 23:00:55,2457278.459,null
2015-09-13 03:14:08,2457278.635,null
2015-09-13 05:01:07,2457278.709,null
2015-09-13 09:14:42,2457278.885,null
2015-09-13 11:01:22,2457278.959,null
2015-09-13 15:14:38,2457279.135,null
2015-09-13 17:01:28,2457279.209,null
2015-09-13 21:15:06,2457279.385,null
2015-09-13 23:01:19,2457279.459,null
2015-09-14 03:15:33,2457279.636,null
2015-09-14 05:02:08,2457279.710,null
2015-09-14 11:01:59,2457279.960,null
2015-09-14 15:16:00,2457280.136,null
2015-09-14 17:02:15,2457280.210,null
2015-09-14 21:16:00,2457280.386,null
2015-09-14 23:02:29,2457280.460,null
2015-09-15 03:16:10,2457280.636,null
2015-09-15 05:02:59,2457280.710,null
2015-09-15 09:16:23,2457280.886,null
2015-09-15 11:03:11,2457280.961,null
2015-09-15 15:16:36,2457281.137,null
2015-09-15 21:17:01,2457281.387,null
2015-10-29 02:49:50,2457324.618,null
2015-12-02 09:55:38,2457358.914,null
2015-12-18 02:12:45,2457374.592,null
2016-03-20 12:27:16,2457468.019,null
2016-03-20 16:41:19,2457468.195,null
2016-04-05 16:45:15,2457484.198,18.88
2016-04-05 18:31:50,2457484.272,18.85

