Gaia16akm
#Date,JD,averagemag.
2014-11-18 07:11:39,2456979.800,null
2015-03-11 21:42:02,2457093.404,null
2015-03-11 23:28:49,2457093.478,null
2015-03-23 17:35:02,2457105.233,null
2015-03-23 21:48:39,2457105.409,null
2015-04-30 21:01:24,2457143.376,null
2015-04-30 22:47:39,2457143.450,null
2015-06-06 08:37:24,2457179.859,null
2015-06-06 08:37:24,2457179.859,null
2015-06-06 10:24:27,2457179.934,null
2015-06-06 10:24:27,2457179.934,null
2015-06-06 14:37:41,2457180.110,null
2015-06-06 14:37:41,2457180.110,null
2015-06-23 22:35:05,2457197.441,null
2015-06-24 02:48:21,2457197.617,null
2015-06-24 04:35:11,2457197.691,null
2015-09-07 15:09:23,2457273.132,null
2015-09-07 16:55:57,2457273.206,null
2015-09-07 21:09:29,2457273.382,null
2015-09-07 22:56:06,2457273.456,null
2015-09-08 04:56:44,2457273.706,null
2015-09-17 17:04:20,2457283.211,null
2015-09-17 21:17:45,2457283.387,null
2015-09-17 23:04:32,2457283.461,null
2015-09-18 03:18:20,2457283.638,null
2015-09-18 05:04:42,2457283.712,null
2015-10-28 08:49:40,2457323.868,null
2015-10-28 10:36:25,2457323.942,null
2015-12-02 09:53:19,2457358.912,null
2015-12-17 08:10:17,2457373.840,null
2015-12-17 09:57:07,2457373.915,null
2016-03-20 00:28:23,2457467.520,null
2016-04-06 10:45:35,2457484.948,18.94
2016-04-06 12:32:09,2457485.022,18.9

