Gaia16akp
#Date,JD,averagemag.
2015-03-03 21:30:04,2457085.396,null
2015-03-03 21:30:04,2457085.396,null
2015-03-26 21:25:48,2457108.393,null
2015-04-25 09:11:38,2457137.883,null
2015-04-25 10:58:36,2457137.957,null
2015-09-01 09:30:56,2457266.896,null
2015-09-01 11:17:45,2457266.971,null
2015-09-27 17:10:10,2457293.215,null
2015-10-24 15:08:04,2457320.131,null
2015-10-24 16:54:54,2457320.205,null
2016-03-13 00:23:16,2457460.516,null
2016-03-13 04:36:55,2457460.692,null
2016-04-09 16:29:37,2457488.187,18.52
2016-04-09 18:16:12,2457488.261,18.48

