Gaia16akq
#Date,JD,averagemag.
2014-09-06 22:29:47,2456907.437,null
2014-09-07 00:16:20,2456907.511,null
2014-10-13 13:39:49,2456944.069,null
2014-10-13 15:26:23,2456944.143,null
2014-11-18 14:36:18,2456980.109,null
2014-12-03 14:39:32,2456995.111,null
2015-03-07 11:32:22,2457088.981,16.55
2015-03-27 21:46:31,2457109.407,19.49
2015-03-27 23:33:06,2457109.481,19.68
2015-06-17 14:59:14,2457191.124,null
2015-06-17 20:58:58,2457191.374,null
2015-06-17 22:45:48,2457191.448,null
2015-06-18 02:59:34,2457191.625,null
2015-06-18 04:46:03,2457191.699,null
2015-06-18 08:59:41,2457191.875,null
2015-06-18 10:46:21,2457191.949,null
2015-06-18 14:59:52,2457192.125,null
2015-06-18 16:51:31,2457192.202,19.8
2015-06-18 21:00:10,2457192.375,null
2015-06-18 22:46:36,2457192.449,null
2015-06-19 03:00:23,2457192.625,null
2015-06-19 09:01:01,2457192.876,null
2015-06-19 10:47:38,2457192.950,null
2015-06-20 03:06:26,2457193.629,19.38
2015-06-20 04:48:06,2457193.700,null
2015-06-20 09:06:41,2457193.880,19.66
2015-06-20 10:53:15,2457193.954,19.45
2015-06-20 15:01:50,2457194.126,null
2015-06-20 16:53:30,2457194.204,19.56
2015-06-20 21:07:11,2457194.380,19.67
2015-06-20 22:53:18,2457194.454,null
2015-06-21 09:07:41,2457194.880,20.12
2015-06-21 10:54:15,2457194.954,20.02
2015-06-21 15:07:56,2457195.131,19.59
2015-06-21 16:49:38,2457195.201,null
2015-08-29 21:11:48,2457264.383,null
2015-08-29 22:58:02,2457264.457,null
2015-08-30 03:11:43,2457264.633,null
2015-09-23 09:13:55,2457288.885,null
2015-09-23 11:00:55,2457288.959,null
2015-10-24 14:52:37,2457320.120,null
2015-10-24 16:38:52,2457320.194,null
2015-12-02 09:30:50,2457358.896,19.85
2015-12-02 13:44:29,2457359.073,19.75
2015-12-12 19:49:57,2457369.326,20.16
2015-12-12 21:36:31,2457369.400,20.31
2016-03-16 22:50:55,2457464.452,19.71
2016-04-10 04:45:26,2457488.698,16.53
2016-04-10 06:32:01,2457488.772,16.55

