Gaia16akt
#Date,JD,averagemag.
2014-11-13 11:39:13,2456974.986,null
2015-01-16 02:28:54,2457038.603,null
2015-01-16 04:15:38,2457038.678,null
2015-01-28 10:21:37,2457050.932,null
2015-01-28 14:34:59,2457051.108,null
2015-03-11 19:07:04,2457093.297,null
2015-03-11 20:53:51,2457093.371,null
2015-03-29 02:56:59,2457110.623,null
2015-03-29 07:10:41,2457110.799,null
2015-05-05 12:22:18,2457148.015,null
2015-05-05 14:09:08,2457148.090,null
2015-06-07 06:04:38,2457180.753,null
2015-06-07 06:04:38,2457180.753,null
2015-06-07 07:50:59,2457180.827,null
2015-06-07 07:50:59,2457180.827,null
2015-07-05 00:04:20,2457208.503,null
2015-07-05 01:51:10,2457208.577,null
2015-08-24 01:30:59,2457258.563,null
2015-08-24 05:44:31,2457258.739,null
2015-08-24 07:31:23,2457258.813,null
2015-09-16 17:52:04,2457282.244,null
2015-09-16 19:38:29,2457282.318,null
2015-10-24 17:25:45,2457320.226,null
2015-10-24 19:12:02,2457320.300,null
2016-02-08 15:30:59,2457427.147,null
2016-03-21 14:08:12,2457469.089,null
2016-03-21 15:54:27,2457469.163,null
2016-04-10 15:56:19,2457489.164,18.46
2016-04-10 20:09:59,2457489.340,18.47

