Gaia16akw
#Date,JD,averagemag.
2014-11-01 08:35:40,2456962.858,null
2014-11-01 12:49:26,2456963.034,null
2014-11-01 14:35:37,2456963.108,null
2015-01-12 19:58:13,2457035.332,null
2015-02-07 01:46:12,2457060.574,null
2015-03-18 10:48:57,2457099.951,null
2015-03-18 12:35:15,2457100.024,null
2015-04-01 06:39:02,2457113.777,null
2015-05-14 21:19:13,2457157.388,null
2015-05-14 23:05:26,2457157.462,null
2015-06-01 03:21:06,2457174.640,null
2015-06-01 05:07:32,2457174.714,null
2015-07-10 02:25:07,2457213.601,null
2015-07-10 04:11:57,2457213.675,null
2015-09-08 03:51:29,2457273.661,null
2015-09-08 08:05:39,2457273.837,null
2015-10-25 07:49:01,2457320.826,null
2015-10-25 09:35:45,2457320.900,null
2015-10-25 13:49:26,2457321.076,null
2015-10-25 15:36:12,2457321.150,null
2015-11-16 21:46:51,2457343.408,null
2015-11-17 02:00:30,2457343.584,null
2015-11-17 03:47:21,2457343.658,null
2015-12-25 07:39:03,2457381.819,null
2015-12-25 09:25:16,2457381.893,null
2016-01-26 08:56:52,2457413.873,null
2016-01-26 13:10:51,2457414.049,null
2016-02-18 01:03:19,2457436.544,null
2016-02-18 02:49:54,2457436.618,null
2016-03-29 23:43:23,2457477.488,null
2016-04-11 17:41:31,2457490.237,17.28
2016-04-11 19:28:05,2457490.311,17.13

