Gaia16alc
#Date,JD,averagemag.
2015-03-01 00:39:06,2457082.527,null
2015-03-29 20:05:02,2457111.337,null
2015-03-29 20:05:02,2457111.337,null
2015-04-23 00:16:54,2457135.512,null
2015-04-23 02:03:09,2457135.586,null
2015-08-29 06:35:07,2457263.774,null
2015-09-30 00:14:55,2457295.510,null
2015-10-21 00:14:49,2457316.510,null
2015-10-21 02:01:17,2457316.584,null
2016-01-31 10:30:17,2457418.938,null
2016-01-31 14:44:09,2457419.114,null
2016-01-31 16:30:23,2457419.188,null
2016-03-10 13:46:15,2457458.074,null
2016-03-10 15:32:47,2457458.148,null
2016-04-13 15:08:36,2457492.131,18.7
2016-04-13 19:22:14,2457492.307,18.79

