Gaia16ald
#Date,JD,averagemag.
2014-10-10 01:44:53,2456940.573,null
2014-10-10 03:31:27,2456940.647,null
2014-11-20 20:19:42,2456982.347,20.51
2014-11-21 00:33:22,2456982.523,20.25
2014-11-21 02:26:45,2456982.602,null
2014-11-27 06:44:17,2456988.781,null
2014-11-27 08:30:53,2456988.855,null
2015-01-14 12:37:11,2457037.026,20.75
2015-01-14 16:50:42,2457037.202,null
2015-01-14 18:37:26,2457037.276,20.6
2015-01-21 04:55:03,2457043.705,null
2015-01-21 06:41:54,2457043.779,null
2015-01-21 10:55:30,2457043.955,null
2015-01-21 12:42:20,2457044.029,null
2015-03-03 11:38:32,2457084.985,16.15
2015-03-31 03:32:28,2457112.648,null
2015-04-27 15:29:07,2457140.145,null
2015-04-27 17:15:15,2457140.219,null
2015-08-26 21:20:51,2457261.389,20.26
2015-08-26 23:13:15,2457261.468,null
2015-09-26 22:53:39,2457292.454,null
2016-01-23 11:46:06,2457410.990,20.41
2016-02-04 05:53:05,2457422.745,20.82
2016-02-04 07:39:40,2457422.819,20.76
2016-03-13 11:00:23,2457460.959,21.05
2016-04-14 04:42:30,2457492.696,15.82
2016-04-14 06:29:04,2457492.770,15.79

