Gaia16alj
#Date,JD,averagemag.
2015-02-16 10:37:33,2457069.943,null
2015-02-16 14:51:41,2457070.119,null
2015-03-20 14:26:55,2457102.102,null
2015-03-20 16:13:17,2457102.176,null
2015-04-09 20:29:35,2457122.354,null
2015-07-17 11:17:02,2457220.970,null
2015-07-17 13:03:40,2457221.044,null
2015-07-31 05:22:28,2457234.724,null
2015-07-31 07:08:56,2457234.798,null
2015-09-07 10:31:26,2457272.939,null
2015-09-07 12:17:29,2457273.012,null
2015-10-13 22:00:03,2457309.417,null
2015-10-13 23:46:52,2457309.491,null
2015-10-30 16:07:30,2457326.172,null
2015-10-30 17:54:18,2457326.246,null
2015-10-30 22:08:07,2457326.422,null
2015-10-30 23:54:29,2457326.496,null
2016-01-07 16:15:32,2457395.177,null
2016-01-07 18:02:01,2457395.251,null
2016-01-07 22:15:59,2457395.428,null
2016-01-08 00:02:11,2457395.502,null
2016-01-08 04:16:14,2457395.678,null
2016-02-27 10:02:19,2457445.918,null
2016-02-27 11:49:06,2457445.992,null
2016-04-18 11:18:01,2457496.971,18.72
2016-04-18 15:31:42,2457497.147,18.67

