Gaia16all
#Date,JD,averagemag.
2014-08-24 23:51:00,2456894.494,null
2014-10-04 14:54:11,2456935.121,null
2014-11-09 08:05:47,2456970.837,null
2015-01-08 01:09:34,2457030.548,20.36
2015-01-08 05:23:15,2457030.724,20.42
2015-02-01 17:20:34,2457055.223,null
2015-03-08 06:19:48,2457089.764,20.08
2015-03-08 10:33:28,2457089.940,20.02
2015-07-15 09:13:45,2457218.885,20.28
2015-07-15 10:54:45,2457218.955,null
2015-10-16 21:57:20,2457312.415,18.95
2015-11-21 19:23:27,2457348.308,20.48
2015-11-21 21:10:01,2457348.382,20.5
2015-12-15 13:14:37,2457372.052,20.36
2015-12-15 15:01:11,2457372.126,20.56
2016-01-20 02:11:58,2457407.592,20.56
2016-02-14 06:14:42,2457432.760,20.57
2016-02-14 08:01:16,2457432.834,20.58
2016-03-19 17:45:48,2457467.240,null
2016-04-18 11:22:16,2457496.974,19.15
2016-04-18 13:08:50,2457497.048,19.21

