Gaia16alp
#Date,JD,averagemag.
2014-10-01 20:41:15,2456932.362,null
2014-11-05 20:03:36,2456967.336,18.95
2014-12-04 07:48:00,2456995.825,null
2015-01-05 17:34:20,2457028.232,19.63
2015-01-05 19:20:55,2457028.306,19.35
2015-02-05 05:15:09,2457058.719,19.68
2015-02-05 07:01:43,2457058.793,null
2015-03-09 16:49:33,2457091.201,16.03
2015-04-08 10:37:43,2457120.943,null
2015-04-08 12:24:03,2457121.017,null
2015-05-13 15:57:24,2457156.165,19.32
2015-07-17 15:01:11,2457221.126,19.24
2015-09-18 08:01:38,2457283.834,null
2015-09-18 09:47:53,2457283.908,null
2015-10-14 19:56:55,2457310.331,19.22
2015-10-14 21:43:30,2457310.405,19.23
2015-11-18 07:21:41,2457344.807,19.04
2015-12-17 07:05:00,2457373.795,19.12
2016-01-18 08:25:32,2457405.851,18.96
2016-02-18 00:19:48,2457436.514,19.46
2016-03-21 17:52:54,2457469.245,19.33
2016-03-21 19:39:28,2457469.319,18.88
2016-04-20 05:36:36,2457498.734,15.4
2016-04-20 07:23:10,2457498.808,15.34

