Gaia16alw
#Date,JD,averagemag.
2014-09-13 07:24:07,2456913.808,null
2014-10-17 08:47:20,2456947.866,null
2014-10-17 10:33:54,2456947.940,null
2015-02-19 04:47:33,2457072.700,19.16
2015-04-11 04:26:54,2457123.685,null
2015-07-19 11:08:17,2457222.964,null
2015-07-19 12:52:48,2457223.037,18.58
2015-07-19 17:06:27,2457223.213,18.65
2015-07-19 18:55:08,2457223.288,null
2015-07-26 11:13:30,2457229.968,null
2015-07-26 12:57:59,2457230.040,18.95
2015-07-26 17:11:38,2457230.216,19.1
2015-09-05 16:19:05,2457271.180,19.09
2015-09-05 18:05:38,2457271.254,19.07
2015-10-11 11:35:16,2457306.983,null
2015-10-11 15:48:57,2457307.159,null
2015-10-26 03:55:41,2457321.664,null
2015-10-26 05:41:55,2457321.737,null
2015-10-26 09:55:39,2457321.914,null
2015-10-26 11:42:28,2457321.988,null
2016-02-29 22:12:21,2457448.425,19.09
2016-04-05 15:36:41,2457484.150,19.12
2016-04-05 17:23:15,2457484.224,19.13
2016-04-19 05:31:21,2457497.730,18.63
2016-04-19 09:45:02,2457497.906,18.66

