 1 17.898 0.004 17.257 0.003 16.857 0.004 16.463 0.006 
 2 17.811 0.004 17.193 0.003 16.819 0.003 16.463 0.005 
 3 18.495 0.005 17.838 0.006 17.421 0.004 17.025 0.007 
 5 20.187 0.031 18.823 0.015 17.970 0.012 17.122 0.010 
 6 19.190 0.013 18.296 0.030 17.802 0.008 17.312 0.018 
 9 15.717 0.002 14.681 0.001 14.080 0.003 13.568 0.003 
10 18.297 0.011 17.468 0.007 16.960 0.009 16.502 0.008 
14 19.588 0.013 18.077 0.015 17.056 0.004 15.948 0.009 
16 15.663 0.005 14.911 0.002 14.477 0.003 14.077 0.002 
18 16.343 0.007 15.772 0.008 15.419 0.004 15.077 0.007 
19 16.035 0.011 15.379 0.005 14.982 0.004 14.591 0.009 
20 15.367 0.010 14.670 0.005 14.268 0.003 13.895 0.010 
