#MJD		U	Uerr	B	Berr	V	Verr	R	Rerr	I	Ierr	r	rerr
56097.41	nan	nan	nan	nan	>22.34	0	nan	nan	nan	nan	>22.45	0
56097.44	nan	nan	nan	nan	>21.95	0	nan	nan	nan	nan	>22.06	0
56101.37	nan	nan	nan	nan	>22.10	0	nan	nan	nan	nan	>22.21	0
56101.41	nan	nan	nan	nan	>22.19	0	nan	nan	nan	nan	>22.30	0
56118.36	nan	nan	nan	nan	19.53	0.04	nan	nan	nan	nan	19.62	0.03
56118.41	nan	nan	nan	nan	19.45	0.04	nan	nan	nan	nan	19.54	0.02
56124.41	nan	nan	nan	nan	19.27	0.04	nan	nan	nan	nan	19.36	0.02
56124.44	nan	nan	nan	nan	19.22	0.04	nan	nan	nan	nan	19.31	0.02
56126.42	nan	nan	nan	nan	19.24	0.04	nan	nan	nan	nan	19.33	0.03
56126.43	nan	nan	nan	nan	19.26	0.04	nan	nan	nan	nan	19.35	0.03
56130.32	nan	nan	nan	nan	19.09	0.04	nan	nan	nan	nan	19.18	0.03
56130.38	nan	nan	nan	nan	19.12	0.04	nan	nan	nan	nan	19.21	0.03
56132.41	nan	nan	nan	nan	19.12	0.04	nan	nan	nan	nan	19.21	0.02
56132.43	nan	nan	nan	nan	19.11	0.04	nan	nan	nan	nan	19.20	0.02
56136.25	nan	nan	nan	nan	19.07	0.05	nan	nan	nan	nan	19.16	0.04
56136.33	nan	nan	nan	nan	19.10	0.04	nan	nan	nan	nan	19.19	0.02
56138.26	nan	nan	nan	nan	18.98	0.05	nan	nan	nan	nan	19.07	0.04
56138.34	nan	nan	nan	nan	19.00	0.04	nan	nan	nan	nan	19.09	0.03
56149.40	17.54	0.10	19.58	0.06	19.34	0.05	19.44	0.09	19.22	0.10	19.40	0.04
56152.10	nan	nan	19.53	0.23	19.45	0.14	19.41	0.15	19.33	0.12	19.55	0.14
56158.10	nan	nan	19.64	0.14	19.31	0.10	19.35	0.06	19.30	0.05	19.39	0.10
56158.30	17.99	0.10	19.55	0.07	19.35	0.08	19.43	0.05	19.22	0.17	19.43	0.07
56158.40	nan	nan	nan	nan	19.40	0.04	nan	nan	nan	nan	19.48	0.02
56158.42	nan	nan	nan	nan	19.50	0.04	nan	nan	nan	nan	19.58	0.03
56160.32	nan	nan	nan	nan	19.47	0.09	nan	nan	nan	nan	19.54	0.08
56160.40	nan	nan	nan	nan	19.52	0.04	nan	nan	nan	nan	19.58	0.03
56164.30	18.42	0.09	19.70	0.06	19.42	0.04	19.54	0.04	19.26	0.05	19.46	0.03
56164.35	nan	nan	nan	nan	19.51	0.04	nan	nan	nan	nan	19.55	0.03
56164.39	nan	nan	nan	nan	19.62	0.05	nan	nan	nan	nan	19.66	0.04
56166.21	nan	nan	nan	nan	19.54	0.05	nan	nan	nan	nan	19.58	0.04
56166.30	nan	nan	nan	nan	19.46	0.04	nan	nan	nan	nan	19.50	0.03
56166.40	18.56	0.06	19.77	0.05	19.58	0.05	19.59	0.04	19.37	0.04	19.62	0.04
56180.40	19.39	0.34	20.30	0.09	19.97	0.07	19.76	0.06	19.48	0.09	20.00	0.06
56183.10	nan	nan	20.44	0.16	19.88	0.06	19.65	0.07	19.78	0.10	19.92	0.05
56186.30	nan	nan	20.59	0.05	20.06	0.04	19.96	0.04	19.80	0.04	20.17	0.02
56190.10	nan	nan	20.76	0.18	20.06	0.09	20.01	0.06	19.92	0.13	20.24	0.09
56193.40	nan	nan	21.06	0.08	20.16	0.08	20.12	0.06	19.91	0.05	20.41	0.07
56195.00	nan	nan	nan	nan	20.18	0.31	20.16	0.16	19.99	0.16	20.41	0.31
56205.10	nan	nan	nan	nan	20.31	0.30	20.21	0.10	20.36	0.13	20.43	0.30
56207.40	nan	nan	nan	nan	20.43	0.11	20.17	0.15	19.98	0.24	20.53	0.11
56213.00	nan	nan	nan	nan	20.82	0.20	20.45	0.20	20.36	0.18	20.85	0.20
56215.30	nan	nan	21.71	0.08	20.76	0.05	20.52	0.04	20.38	0.05	20.77	0.04
56221.00	nan	nan	22.08	0.31	20.75	0.19	20.69	0.18	20.80	0.14	20.69	0.19
56238.20	nan	nan	22.76	0.08	21.44	0.07	20.94	0.05	20.94	0.04	21.20	0.06
56267.20	nan	nan	23.87	0.33	22.22	0.09	21.65	0.08	22.07	0.51	21.66	0.09
56295.20	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56297.00	nan	nan	nan	nan	nan	nan	22.16	0.30	nan	nan	nan	nan
56304.10	nan	nan	nan	nan	23.39	0.14	nan	nan	nan	nan	22.79	0.14
