#MJD		g	err	r	err	i	err	z	err

host_limit	n	n	24.08	0	n	n	n	n

56718		n	n	>22.85	0	n	n	n	n	#lim
56720		n	n	>22.40	0	n	n	n	n	#lim

#lsq - me
56722		n	n	21.78	0.32	n	n	n	n
56724		n	n	21.24	0.20	n	n	n	n
56726		n	n	21.08	0.32	n	n	n	n
56728		n	n	21.16	0.25	n	n	n	n
56730		n	n	20.99	0.23	n	n	n	n

#lsq - marks pipeline
#56724.051	n	n	21.37	0.16	n	n	n	n
56734.042	n	n	22.04	0.08	n	n	n	n
56736.083	n	n	22.05	0.28	n	n	n	n
56738.088	n	n	22.21	0.21	n	n	n	n
56740.079	n	n	22.21	0.03	n	n	n	n
56742.078	n	n	22.06	0.08	n	n	n	n
56744.075	n	n	21.55	0.16	n	n	n	n
56746.067	n	n	21.44	0.10	n	n	n	n
56750.060	n	n	21.05	0.02	n	n	n	n
56752.060	n	n	20.84	0.15	n	n	n	n
56754.045	n	n	20.67	0.08	n	n	n	n
56756.057	n	n	20.47	0.03	n	n	n	n
56760.053	n	n	20.18	0.06	n	n	n	n
56762.053	n	n	20.12	0.03	n	n	n	n
56764.048	n	n	19.93	0.05	n	n	n	n
56766.043	n	n	19.88	0.02	n	n	n	n
56768.036	n	n	19.89	0.07	n	n	n	n
56770.034	n	n	19.74	0.01	n	n	n	n
56772.069	n	n	19.71	0.05	n	n	n	n

#PS1
56775.5		n	n	19.64	0.19	n	n	n	n

#ntt
56783.123	19.55	0.09	19.35	0.12	19.45	0.05	n	n

#lcogt
56784.7		19.29	0.11	19.31	0.20	n	n	n	n

#lt
56789.876	19.27	0.04	19.26	0.12	19.18	0.06	19.48	0.12
56797.917	19.27	0.04	19.16	0.02	19.16	0.06	19.40	0.04



#lsq late -me
56984.2		n	n	21.15	0.23	n	n	n	n

#ntt
56984.304	n	n	20.99	0.10	20.89	0.06	n	n

#lsq late -me
56988.2		n	n	21.05	0.24	n	n	n	n
56989.2		n	n	21.36	0.30	n	n	n	n
57009.2		n	n	21.27	0.33	n	n	n	n


#PS1
57011.5		n	n	21.51	0.24	n	n	n	n

#lsq 2015 -me
57024.2		n	n	21.78	0.38	n	n	n	n
57033.2		n	n	21.65	0.23	n	n	n	n

#PS1
57042.0		n	n	22.16	0.20	n	n	n	n

#GROND
57065.3		23.29	0.11	22.41	0.04	22.30	0.08	22.00	0.17

#ntt
57079.23	23.74	0.14	22.89	0.13	22.82	0.31	22.79	0.41
57094.1		24.35	0.13	23.43	0.16	22.87	0.24	22.45	0.32
